"","lat","lng","X500m충전소","X1000m충전소","주민등록세대","전기차등록수","wei","교통량"
"1",37.736048,126.5142592,0.5,1,0.102394767476095,0.157349896480331,0.759744663956426,0
"2",37.741713,126.505053,0.333333333333333,4,0.102394767476095,0.157349896480331,0.593077997289759,0
"3",37.74883921,126.4867424,0.2,9,0.102394767476095,0.157349896480331,0.459744663956426,0
"4",37.747746,126.4829846,0.166666666666667,8,0.102394767476095,0.157349896480331,0.426411330623093,0
"5",37.751756,126.479978,0.25,4,0.102394767476095,0.157349896480331,0.509744663956426,0
"6",37.74190934,126.4883684,0.1,10,0.102394767476095,0.157349896480331,0.359744663956426,0
"7",37.739364,126.4896322,0.0769230769230769,3,0.102394767476095,0.157349896480331,0.336667740879503,0
"8",37.746913,126.4820872,0.2,9,0.102394767476095,0.157349896480331,0.459744663956426,0
"9",37.74236799,126.4800651,1,21,0.102394767476095,0.157349896480331,1.25974466395643,0
"10",37.7465337,126.4791545,0.2,3,0.102394767476095,0.157349896480331,0.459744663956426,0
"11",37.641116,126.4891856,0.5,1,0.102394767476095,0.157349896480331,0.759744663956426,0
"12",37.639165,126.4922173,0.333333333333333,0,0.102394767476095,0.157349896480331,0.593077997289759,0
"13",37.664244,126.5249234,0.5,0,0.102394767476095,0.157349896480331,0.759744663956426,0
"14",37.692933,126.3666379,1.2,3,0.102394767476095,0.157349896480331,1.45974466395643,0
"15",37.722351,126.484017,1,2,0.102394767476095,0.157349896480331,1.25974466395643,0
"16",37.74232092,126.4986252,0.333333333333333,9,0.102394767476095,0.157349896480331,0.593077997289759,0
"17",37.826436,126.4330222,1.2,0,0.102394767476095,0.157349896480331,1.45974466395643,0
"18",37.774084,126.4367956,1.2,0,0.102394767476095,0.157349896480331,1.45974466395643,0
"19",37.594553,126.455815,0.166666666666667,2,0.102394767476095,0.157349896480331,0.426411330623093,0
"20",37.592743,126.4581114,0.166666666666667,2,0.102394767476095,0.157349896480331,0.426411330623093,0
"21",37.538426,126.72206,0.0625,17,0.525077794839043,1,1.58757779483904,0
"22",37.53842575,126.7220599,0.0625,17,0.525077794839043,1,1.58757779483904,0
"23",37.54877,126.735162,0.5,66,0.525077794839043,1,2.02507779483904,0
"24",37.54877048,126.735162,0.5,66,0.525077794839043,1,2.02507779483904,0
"25",37.525046,126.7337377,0.024390243902439,58,0.525077794839043,1,1.54946803874148,0
"26",37.52475605,126.73343,0.0217391304347826,54,0.525077794839043,1,1.54681692527383,0
"27",37.52993902,126.7217015,0.0909090909090909,26,0.525077794839043,1,1.61598688574813,0
"28",37.52989819,126.7257395,0.0909090909090909,32,0.525077794839043,1,1.61598688574813,0
"29",37.4650677,126.7173377,0.1,15,0.980106262994116,0.62259686483289,1.70270312782701,0
"30",37.4632691,126.7135139,0.111111111111111,33,0.980106262994116,0.62259686483289,2.91381423893812,1.2
"31",37.46326912,126.7135139,0.111111111111111,33,0.980106262994116,0.62259686483289,2.91381423893812,1.2
"32",37.465006,126.7182996,0.1,11,0.980106262994116,0.62259686483289,2.90270312782701,1.2
"33",37.46506766,126.7173377,0.1,15,0.980106262994116,0.62259686483289,1.70270312782701,0
"34",37.4069501,126.693402,0.1,19,0.980106262994116,0.62259686483289,2.90270312782701,1.2
"35",37.40695006,126.693402,0.1,19,0.980106262994116,0.62259686483289,2.90270312782701,1.2
"36",37.40695006,126.693402,0.1,19,0.980106262994116,0.62259686483289,2.90270312782701,1.2
"37",37.4444092,126.7043212,0.0416666666666667,31,0.980106262994116,0.62259686483289,1.64436979449367,0
"38",37.44440922,126.7043212,0.0416666666666667,31,0.980106262994116,0.62259686483289,1.64436979449367,0
"39",37.4602301,126.7215912,0.1,38,0.980106262994116,0.62259686483289,2.90270312782701,1.2
"40",37.4492856,126.7277332,0.5,16,0.980106262994116,0.62259686483289,2.10270312782701,0
"41",37.44928563,126.7277332,0.5,16,0.980106262994116,0.62259686483289,2.10270312782701,0
"42",37.4485259,126.6952091,0.5,53,0.980106262994116,0.62259686483289,3.30270312782701,1.2
"43",37.44852592,126.6952091,0.5,53,0.980106262994116,0.62259686483289,3.30270312782701,1.2
"44",37.4155497,126.7043887,0.25,14,0.980106262994116,0.62259686483289,3.05270312782701,1.2
"45",37.4155683,126.7043672,0.25,14,0.980106262994116,0.62259686483289,3.05270312782701,1.2
"46",37.3990002,126.7379909,0.0147058823529412,66,0.980106262994116,0.62259686483289,1.61740901017995,0
"47",37.40144005,126.7319075,0.0126582278481013,108,0.980106262994116,0.62259686483289,1.61536135567511,0
"48",37.39900219,126.7379876,0.0147058823529412,66,0.980106262994116,0.62259686483289,1.61740901017995,0
"49",37.4611274,126.7312856,0.05,11,0.980106262994116,0.62259686483289,1.65270312782701,0
"50",37.46112738,126.7312856,0.05,11,0.980106262994116,0.62259686483289,1.65270312782701,0
"51",37.4565407,126.7253838,1.2,49,0.980106262994116,0.62259686483289,2.80270312782701,0
"52",37.46022171,126.7215969,0.1,38,0.980106262994116,0.62259686483289,2.90270312782701,1.2
"53",37.4535471,126.727695,1.2,36,0.980106262994116,0.62259686483289,2.80270312782701,0
"54",37.45657664,126.7253864,1.2,49,0.980106262994116,0.62259686483289,2.80270312782701,0
"55",37.45354611,126.7276999,1.2,36,0.980106262994116,0.62259686483289,2.80270312782701,0
"56",37.434246,126.7512982,0.0416666666666667,87,0.980106262994116,0.62259686483289,1.64436979449367,0
"57",37.43424603,126.7512982,0.0416666666666667,87,0.980106262994116,0.62259686483289,1.64436979449367,0
